tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ
Gigabyte H370M DS3H DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H170 GA-H170-D3HP LGA1151 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B850 PRO B850-VC WIFI6E AM5 DDR5 ATX,6452944,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
MSI AMD 970 970A GAMING PRO CARBON AM3+/AM3 DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN / XÁM,DDR3,PCIe 4.0 x4,
Asus H610 PRIME H610M-E LGA1700 DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H81 GA-H81M-S2PV DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,16,2,ĐEN,DDR3,,sata_3_gb_s; sata_6_gb_s
MSI MEG X870E GODLIKE X EDITION,21075737,AM5,EATX,256,4,ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s
ASRock Z270 Pro4 LGA1151 DDR4 ATX,11012210,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI C232 E3 KRAIT GAMING V5 LGA1151 DDR4 ATX,10295099,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,
Gigabyte P45 GA-EP45T-UD3LR DDR3 ATX,1933460,LGA 775,ATX,16,4,RGB,DDR3,,sata_3_gb_s
Asus TUF GAMING A520M-PLUS WIFI AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,128,4,ĐEN / CAM,DDR4,PCIe 3.0 x4,sata_6_gb_s
Asus B365 ROG STRIX B365-F GAMING LGA1151 DDR4 ATX,9707869,LGA 1151,ATX,64,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X79 Extreme7 LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,48,6,ĐEN / XÁM,DDR3,,sata_3_gb_s; sata_6_gb_s
MSI X470 GAMING PLUS AM4 DDR4 ATX,9905720,AM4,ATX,128,4,ĐỎ / ĐEN,DDR4,PCIe 4.0 x4,
ASUS PRIME B760M-R D4-CSM,4858808,LGA 1700,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
