tên,giá,số lõi,xung cơ bản,xung boost,kiến trúc,tdp,đồ họa,socket
Intel Core i5-11600,88519200000,6,2.8,4.8,Rocket Lake,65,Intel UHD Graphics 750,LGA 1200
Intel Core i7-8086K,216947913600,6,4.0,5.0,Coffee Lake,95,Intel UHD Graphics 630,LGA 1151
AMD EPYC 4464P,271874077200,12,3.7,5.4,Zen 4,65,Radeon,AM5
Intel Core i5-11500,101164800000,6,2.7,4.6,Rocket Lake,65,Intel UHD Graphics 750,LGA 1200
Intel Core i9-9900,265361593200,8,3.1,5.0,Coffee Lake Refresh,65,Intel UHD Graphics 630,LGA 1151
Intel Core i9-12900,247474392000,16,2.4,5.1,Alder Lake,65,Intel UHD Graphics 770,LGA 1700
Intel Core i5-8600,119500920000,6,3.1,4.3,Coffee Lake,65,Intel UHD Graphics 630,LGA 1151
Intel Core i5-4440,63228000000,4,3.1,3.3,Haswell,84,Intel HD Graphics 4600,LGA 1150
Intel Core i5-9600,135111913200,6,3.1,4.6,Coffee Lake Refresh,65,Intel UHD Graphics 630,LGA 1151
Intel Core i5-10600,335076786000,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630,LGA 1200
Intel Core i9-9900K (Standard Folding Box),357238200000,8,3.6,5.0,Coffee Lake Refresh,95,Intel UHD Graphics 630,LGA 1151
AMD A4-6300,29584381200,2,3.7,3.9,Piledriver,65,Radeon HD 8370D,AM3+
Intel Core i9-11900,247215157200,8,2.5,5.2,Rocket Lake,65,Intel UHD Graphics 750,LGA 1200
AMD EPYC 4344P,218762557200,8,3.8,5.3,Zen 4,65,Radeon,AM5
AMD EPYC 4364P,246582877200,8,4.5,5.4,Zen 4,105,Radeon,AM5
Intel Core i7-8700T,177006786000,6,2.4,4.0,Coffee Lake,35,Intel UHD Graphics 630,LGA 1151
AMD A8-7600,49880569200,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die),FM2+
Intel Core i5-7400T,40819996800,4,2.4,3.0,Kaby Lake,35,Intel HD Graphics 630,LGA 1151
AMD A10-7700K,80944485600,4,3.4,3.8,Steamroller,95,Radeon R7 (on-die),FM2+
Intel Core i5-8400T,71681583600,6,1.7,3.3,Coffee Lake,35,Intel UHD Graphics 630,LGA 1151
Intel Core i7-7700T,315476106000,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630,LGA 1151
AMD A10-7850K,88418035200,4,3.7,4.0,Steamroller,95,Radeon R7 (on-die),FM2+
Intel Core i5-6402P,75026344800,4,2.8,3.4,Skylake,65,Intel HD Graphics 510,LGA 1151
AMD A10-9700,80748478800,4,3.5,3.8,Excavator,65,Radeon R7 (on-die),AM4
Intel Core i5-6500T,145392786000,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,LGA 1151
Intel Core i7-10700K Avengers Collector's Edition,468519480000,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,LGA 1200
Intel Core i3-10320,75873600000,4,3.8,4.6,Comet Lake,65,Intel UHD Graphics 630,LGA 1200
Intel Xeon E3-1245 V6,75873600000,4,3.7,4.1,Kaby Lake,73,Intel HD Graphics P630,LGA 2011
Intel Xeon E-2286G,396825250800,6,4.0,4.9,Coffee Lake Refresh,95,Intel HD Graphics P630,LGA 2011
AMD A6-7400K,56892554400,2,3.5,3.9,Steamroller,65,Radeon R5 (on die),FM2+
Intel Core i3-9300,151829396400,4,3.7,4.3,Coffee Lake Refresh,62,Intel UHD Graphics 630,LGA 1151
Intel Core i5-3340,175786485600,4,3.1,3.3,Ivy Bridge,77,Intel HD Graphics 2500,LGA 1155
Intel Xeon E3-1285 V6,625925586000,4,4.1,4.5,Kaby Lake,79,Intel HD Graphics 630,LGA 2011
Intel Core i5-6600T,113778786000,4,2.7,3.5,Skylake,35,Intel HD Graphics 530,LGA 1151
Intel Xeon E-2176G,368802601200,6,3.7,4.7,Coffee Lake,80,Intel HD Graphics P630,LGA 2011
AMD A10-9700E,83909878800,4,3.0,3.5,Excavator,35,Radeon R7 (on-die),AM4
Intel Xeon E-2274G,694844106000,4,4.0,4.9,Coffee Lake Refresh,83,Intel HD Graphics P630,LGA 2011
Intel Xeon E3-1265L V3,252248106000,4,2.5,3.7,Haswell,45,Intel HD Graphics,LGA 2011
Intel Core i5-3330S,94804063200,4,2.7,3.2,Ivy Bridge,65,Intel HD Graphics 2500,LGA 1155
Intel Xeon E-2174G,410950386000,4,3.8,4.7,Coffee Lake,71,Intel HD Graphics P630,LGA 2011
AMD A4-6300B,31582386000,2,3.7,3.9,Piledriver,65,Radeon HD 8370D,AM3+
Intel Xeon E-2124G,171341557200,4,3.4,4.5,Coffee Lake,71,Intel HD Graphics P630,LGA 2011
Intel Core i5-7600T,145392786000,4,2.8,3.7,Kaby Lake,35,Intel HD Graphics 630,LGA 1151
Intel Xeon E3-1275 V6,318947323200,4,3.8,4.2,Kaby Lake,73,Intel HD Graphics P630,LGA 2011
AMD Pro A10-7850B,93590085600,4,3.7,4.0,Steamroller,95,Radeon R7 (on-die),FM2+
Intel Xeon E3-1225 V6,224642761200,4,3.3,3.7,Kaby Lake,73,Intel HD Graphics P630,LGA 2011
