tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp,interface,image_url
Sapphire NITRO+ Radeon RX 7900 XT 20GB GDDR6 Silver / Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2560.0,GREY,320.0,368.0,PCIe x16,assets/images/gpu/gpu_sapphire_nitro_radeon_rx_7900_xt_20gb_gddr6_silver_black.png
PowerColor Radeon RX 7900 XT Hellhound OC 20GB GDDR6 White,23924880,Radeon RX 7900 XT,20.0,2000.0,2500.0,WHITE,320.0,300.0,PCIe x16,assets/images/gpu/gpu_powercolor_radeon_rx_7900_xt_hellhound_oc_20gb_gddr6_white.png
MSI GAMING TRIO CLASSIC Radeon RX 7900 XT 20GB GDDR6 Black / Silver,23924880,Radeon RX 7900 XT,20.0,2000.0,2400.0,BLACK,325.0,315.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_trio_classic_radeon_rx_7900_xt_20gb_gddr6_black_silver.png
Gainward Ghost OC GeForce GTX 1660 SUPER 6GB GDDR6 Black,8136000,GeForce GTX 1660 SUPER,6.0,1530.0,1830.0,BLACK,235.0,125.0,PCIe x16,assets/images/gpu/gpu_gainward_ghost_oc_geforce_gtx_1660_super_6gb_gddr6_black.png
Sapphire NITRO+ AMD Radeon RX 7900 XTX Vapor-X 24GB GDDR6,21599760,Radeon RX 7900 XTX,24.0,2119.0,2680.0,GREY,320.0,420.0,PCIe 4.0 x16,assets/images/gpu/gpu_sapphire_nitro_amd_radeon_rx_7900_xtx_vapor_x_24gb_gddr6.png
PowerColor Hellhound Spectral White AMD Radeon RX 7900 XTX 24GB GDDR6 OC,21599760,Radeon RX 7900 XTX,24.0,1980.0,2525.0,WHITE,320.0,355.0,PCIe 4.0 x16,assets/images/gpu/gpu_powercolor_hellhound_spectral_white_amd_radeon_rx_7900_xtx_24gb_gddr6_oc.png
Gigabyte GV-R79XTX-24GC-B Radeon RX 7900 XTX 24GB GDDR6 Black,21599760,Radeon RX 7900 XTX,24.0,2300.0,2500.0,BLACK,287.0,355.0,PCIe x16,assets/images/gpu/gpu_gigabyte_gv_r79xtx_24gc_b_radeon_rx_7900_xtx_24gb_gddr6_black.png
MSI Gaming X Trio Radeon RX 6800 XT 16GB GDDR6 Silver / Black,17256000,Radeon RX 6800 XT,16.0,1850.0,2285.0,GREY,324.0,300.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_x_trio_radeon_rx_6800_xt_16gb_gddr6_silver_black.png
MSI Radeon RX 6800 XT 16GB GDDR6 Black / Silver,17256000,Radeon RX 6800 XT,16.0,1825.0,2250.0,BLACK,267.0,300.0,PCIe x16,assets/images/gpu/gpu_msi_radeon_rx_6800_xt_16gb_gddr6_black_silver.png
Yeston Sakura Atlantis Radeon RX 9070 16GB GDDR6 Blue / Pink,14399760,Radeon RX 9070,16.0,2070.0,2700.0,BLUE,332.0,220.0,PCIe x16,assets/images/gpu/gpu_yeston_sakura_atlantis_radeon_rx_9070_16gb_gddr6_blue_pink.png
