tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ,pcie,image_url
Gigabyte Z690M AORUS ELITE AX DDR4,7004872,LGA 1700,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z690m_aorus_elite_ax_ddr4.png
Asus 760G M5A78L-M LE/USB3 AM3+ DDR3 Micro ATX,6638413,AM3+,Micro ATX,16,2,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_760g_m5a78l_m_le_usb3_am3_ddr3_micro_atx.png
Gigabyte AMD 760G GA-78LMT-S2 AM3+ DDR3 Micro ATX,5268737,AM3+,Micro ATX,16,2,XANH DƯƠNG / TRẮNG,DDR3,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_amd_760g_ga_78lmt_s2_am3_ddr3_micro_atx.png
MSI X470 GAMING PRO CARBON AM4 DDR4 ATX,9905720,AM4,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_x470_gaming_pro_carbon_am4_ddr4_atx.png
MSI H370 GAMING PLUS DDR4 ATX,10295099,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h370_gaming_plus_ddr4_atx.png
Gigabyte H270 GA-H270N-WIFI LGA1151 DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h270_ga_h270n_wifi_lga1151_ddr4_mini_itx.png
TUF Z390M-PRO GAMING,6849437,LGA 1151,Micro ATX,64,4,,DDR4,PCIe 3.0 x4 & SATA; PCIe 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_tuf_z390m_pro_gaming.png
Asus Z590 ROG STRIX Z590-F GAMING WIFI DDR4 ATX,12592910,LGA 1200,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z590_rog_strix_z590_f_gaming_wifi_ddr4_atx.png
Gigabyte B550 AORUS MASTER DDR4 ATX,7297565,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b550_aorus_master_ddr4_atx.png
Biostar H610 MX-E LGA1700 DDR4 Micro ATX,4018139,LGA 1700,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_biostar_h610_mx_e_lga1700_ddr4_micro_atx.png
Asus Z590 TUF GAMING PLUS DDR4 ATX,12592910,LGA 1200,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z590_tuf_gaming_plus_ddr4_atx.png
ASRock X370 M-HDV AM4 DDR4 Micro ATX,2588133,AM4,Micro ATX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_x370_m_hdv_am4_ddr4_micro_atx.png
Asus H270 STRIX H270F GAMING LGA1151 DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h270_strix_h270f_gaming_lga1151_ddr4_atx.png
ASRock H270 Pro4 LGA1151 DDR4 ATX,11012210,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_h270_pro4_lga1151_ddr4_atx.png
MSI B450M MORTAR MAX AM4 DDR4 Micro ATX,2897950,AM4,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b450m_mortar_max_am4_ddr4_micro_atx.png
MSI H81 H81M-E35 DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,16,2,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h81_h81m_e35_ddr3_micro_atx.png
ASRock Z490 Phantom Gaming 4 DDR4 ATX,20924516,LGA 1200,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z490_phantom_gaming_4_ddr4_atx.png
Asus X670E PRIME PRO WIFI-CSM AM5 DDR5 ATX,6698216,AM5,ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_x670e_prime_pro_wifi_csm_am5_ddr5_atx.png
Biostar B650M X3D PRO+ AM5 DDR5 Micro ATX,4572965,AM5,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_biostar_b650m_x3d_pro_am5_ddr5_micro_atx.png
ASUS TUF GAMING B850M-PLUS II,5532187,AM5,Micro ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b850m_plus_ii.png
Asus ROG STRIX Z790-F GAMING WIFI DDR5 ATX,8166687,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_z790_f_gaming_wifi_ddr5_atx.png
ASUS TUF GAMING B550M-PLUS WIFI II,5268737,AM4,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b550m_plus_wifi_ii.png
MSI B650 GAMING PLUS AM5 DDR5 ATX,6452944,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b650_gaming_plus_am5_ddr5_atx.png
MSI B360I GAMING PRO AC DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b360i_gaming_pro_ac_ddr4_mini_itx.png
MSI Z87 G43 DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / XANH DƯƠNG,DDR3,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z87_g43_ddr3_atx.png
MSI H55 M-E33 LGA1156 DDR3 Micro ATX,3284958,LGA 1156,Micro ATX,16,4,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h55_m_e33_lga1156_ddr3_micro_atx.png
Gigabyte Z690M DS3H DDR4 (rev. 1.0),6913982,LGA 1700,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4/x2,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z690m_ds3h_ddr4_rev_1_0.png
ASUS PRO B460M-C/CSM,4097965,LGA 1200,Micro ATX,128,4,,DDR4,PCIe 3.0 x4 & SATA; PCIe 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_asus_pro_b460m_c_csm.png
Gigabyte B550 UD AC DDR4 ATX,7297565,AM4,ATX,128,4,NÂU / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b550_ud_ac_ddr4_atx.png
MSI B760M GAMING PLUS WIFI DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b760m_gaming_plus_wifi_ddr4_micro_atx.png
Gigabyte B550 VISION D AM4 DDR4 ATX,7297565,AM4,ATX,128,4,TRẮNG / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b550_vision_d_am4_ddr4_atx.png
Asus B150 M-A LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / VÀNG,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b150_m_a_lga1151_ddr4_micro_atx.png
Biostar A620 MP-E PRO AM5 DDR5 Micro ATX,4572965,AM5,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_biostar_a620_mp_e_pro_am5_ddr5_micro_atx.png
ASRock AB350 Fatal1ty Gaming K4 DDR4 ATX,4873562,AM4,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_ab350_fatal1ty_gaming_k4_ddr4_atx.png
EVGA Z690 DARK K|NGP|N DDR5 EATX,13725482,LGA 1700,EATX,64,2,ĐEN / VÀNG,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_evga_z690_dark_k_ngp_n_ddr5_eatx.png
Asus AMD 990X M5A99X EVO R2.0 AM3+ DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN / XANH DƯƠNG,DDR3,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_amd_990x_m5a99x_evo_r2_0_am3_ddr3_atx.png
Gigabyte Z790 D LGA1700 DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z790_d_lga1700_ddr5_atx.png
Asus ROG STRIX Z490-F GAMING DDR4 ATX,12592910,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_z490_f_gaming_ddr4_atx.png
MSI B650M PROJECT ZERO AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b650m_project_zero_am5_ddr5_micro_atx.png
Gigabyte Z790 GAMING X DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z790_gaming_x_ddr5_atx.png
ASRock X870E Taichi Lite AM5 DDR5 EATX,21075737,AM5,EATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_x870e_taichi_lite_am5_ddr5_eatx.png
Asus Z690 TUF GAMING Z690-PLUS WIFI D4 DDR4 ATX,8166687,LGA 1700,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z690_tuf_gaming_z690_plus_wifi_d4_ddr4_atx.png
ASUS TUF GAMING B760M-PLUS WIFI,4858808,LGA 1700,Micro ATX,192,4,ĐEN / CAM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b760m_plus_wifi.png
ASRock Z390 Phantom Gaming 4 LGA1151 DDR4 ATX,11012210,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z390_phantom_gaming_4_lga1151_ddr4_atx.png
Asus Z690 TUF GAMING PLUS WIFI DDR5 ATX,8166687,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z690_tuf_gaming_plus_wifi_ddr5_atx.png
MSI B460 M-A PRO DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b460_m_a_pro_ddr4_micro_atx.png
Gigabyte B360M AORUS GAMING 3 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / CAM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b360m_aorus_gaming_3_ddr4_micro_atx.png
ASRock X870 Phantom Gaming Riptide WiFi AM5 DDR5 ATX,5268737,AM5,ATX,256,4,ĐEN / PURPLE,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_x870_phantom_gaming_riptide_wifi_am5_ddr5_atx.png
MSI X870E PRO-P WIFI DDR5 ATX,6452944,AM5,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_x870e_pro_p_wifi_ddr5_atx.png
MSI Z790 MPG CARBON MAX WIFI LGA1700 DDR5 ATX,6306466,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z790_mpg_carbon_max_wifi_lga1700_ddr5_atx.png
Asus Z490 PRIME-P LGA1200 DDR4 ATX,12592910,LGA 1200,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_asus_z490_prime_p_lga1200_ddr4_atx.png
Gigabyte Z590 Z590M GAMING X DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z590_z590m_gaming_x_ddr4_micro_atx.png
MSI A320M PRO-VH PLUS Micro ATX AM4,2897950,AM4,Micro ATX,32,2,,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_a320m_pro_vh_plus_micro_atx_am4.png
Gigabyte X570S GAMING X AM4 DDR4 ATX,7297565,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_x570s_gaming_x_am4_ddr4_atx.png
MSI MAG B460 TOMAHAWK,7349992,LGA 1200,ATX,128,4,,DDR4,PCIe 3.0 x4 and SATA 6Gb/s; PCIe 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_msi_mag_b460_tomahawk.png
Asus PRIME Z390-P DDR4 ATX,9707869,LGA 1151,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_z390_p_ddr4_atx.png
MSI Z690 MEG UNIFY WIFI LGA1700 DDR5 ATX,6306466,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z690_meg_unify_wifi_lga1700_ddr5_atx.png
Gigabyte B650 M D2HP (rev. 1.2) AM5 DDR5 Micro ATX,4466531,AM5,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b650_m_d2hp_rev_1_2_am5_ddr5_micro_atx.png
Gigabyte H610M S2H V2 LGA1700 DDR5 Micro ATX,4220206,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h610m_s2h_v2_lga1700_ddr5_micro_atx.png
Asus B350 PRIME B350M-A AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b350_prime_b350m_a_am4_ddr4_micro_atx.png
MSI A320 A320M PRO-VH DDR4 Micro ATX,2897950,AM4,Micro ATX,64,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_a320_a320m_pro_vh_ddr4_micro_atx.png
ASUS ROG STRIX X870E-E GAMING WIFI,12593173,AM5,ATX,256,4,ĐEN / RGB,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_x870e_e_gaming_wifi.png
Asus B450 PRIME B450M-K AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,32,2,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b450_prime_b450m_k_am4_ddr4_micro_atx.png
Asus H610 PRIME H610M-K D4-ARGB DDR4 Micro ATX,4858808,LGA 1700,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h610_prime_h610m_k_d4_argb_ddr4_micro_atx.png
MSI MAG Z690M MORTAR WIFI DDR5 Micro ATX,4083212,LGA 1700,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_mag_z690m_mortar_wifi_ddr5_micro_atx.png
ASUS TUF GAMING B550M-PLUS (WI-FI),7218530,AM4,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b550m_plus_wi_fi.png
ASUS PRIME B760-PLUS D4,4557422,LGA 1700,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b760_plus_d4.png
Asus H670 PRIME-PLUS D4 DDR4 ATX,8166687,LGA 1700,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h670_prime_plus_d4_ddr4_atx.png
ASRock Z170 Pro4 LGA1151 DDR4 ATX,11012210,LGA 1151,ATX,64,4,ĐEN / CAM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z170_pro4_lga1151_ddr4_atx.png
Asus X299 TUF MARK 2 DDR4 ATX,23341670,LGA 2066,ATX,128,8,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_x299_tuf_mark_2_ddr4_atx.png
ASRock B850 LiveMixer WiFi AM5 DDR5 ATX,5268737,AM5,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asrock_b850_livemixer_wifi_am5_ddr5_atx.png
ASUS PRIME B650M-F-CSM,5532187,AM5,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b650m_f_csm.png
Asus B460 TUF GAMING B460M-PLUS (WI-FI) LGA1200 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,128,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b460_tuf_gaming_b460m_plus_wi_fi_lga1200_ddr4_micro_atx.png
MSI H410 H410M PRO-VH LGA1200 DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h410_h410m_pro_vh_lga1200_ddr4_micro_atx.png
Gigabyte H510M H V2 DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,64,2,XÁM / NÂU,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h510m_h_v2_ddr4_micro_atx.png
Asus X299 Prime Edition 30 DDR4 ATX,23341670,LGA 2066,ATX,256,8,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_x299_prime_edition_30_ddr4_atx.png
Gigabyte B760M DS3H AX DDR4 Micro ATX,4220206,LGA 1700,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b760m_ds3h_ax_ddr4_micro_atx.png
MSI Z390 MPG GAMING EDGE AC DDR4 ATX,10295099,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z390_mpg_gaming_edge_ac_ddr4_atx.png
Gigabyte B650 M D2H AM5 DDR5 Micro ATX,4466531,AM5,Micro ATX,96,2,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b650_m_d2h_am5_ddr5_micro_atx.png
Gigabyte Z390 GAMING X DDR4 ATX,7007770,LGA 1151,ATX,128,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z390_gaming_x_ddr4_atx.png
ASUS TUF GAMING B850M-PLUS WIFI,5795637,AM5,Micro ATX,256,4,ĐEN / RGB,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b850m_plus_wifi.png
Gigabyte X870E AORUS MASTER AM5 DDR5 ATX,6129691,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_x870e_aorus_master_am5_ddr5_atx.png
Gigabyte Z890 UD LGA1851 DDR5 ATX,5928942,LGA 1851,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z890_ud_lga1851_ddr5_atx.png
ASUS PRIME B760M-A AX6 II,4858808,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b760m_a_ax6_ii.png
Asus H110 H110M-A LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,ĐEN / VÀNG,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h110_h110m_a_lga1151_ddr4_micro_atx.png
Asus H510 PRIME H510M-R DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h510_prime_h510m_r_ddr4_micro_atx.png
Gigabyte X870E AORUS PRO ICE DDR5 ATX AM5,6129691,AM5,ATX,256,4,TRẮNG,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_x870e_aorus_pro_ice_ddr5_atx_am5.png
MSI Z790-S01,6306466,LGA 1700,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4; PCIe 4.0 x4 / SATA,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_msi_z790_s01.png
Asus B150 PLUS D3 LGA1151 DDR3 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / VÀNG,DDR3,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b150_plus_d3_lga1151_ddr3_micro_atx.png
Gigabyte B550 GAMING X V2 DDR4 ATX,7297565,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b550_gaming_x_v2_ddr4_atx.png
ASUS ROG STRIX B550-XE GAMING WIFI,7093918,AM4,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4; PCIE 3.0 x 4,sata_6_gb_s,PCIe 4.0 x16; PCIe 3.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_b550_xe_gaming_wifi.png
ASRock B550M HVS SE AM4 DDR4 Micro ATX,2588133,AM4,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b550m_hvs_se_am4_ddr4_micro_atx.png
Gigabyte B660 DS3H AX DDR4 ATX LGA1700,6913982,LGA 1700,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b660_ds3h_ax_ddr4_atx_lga1700.png
Gigabyte Z790 AERO G DDR5 ATX,6913982,LGA 1700,ATX,256,4,ĐEN / TRẮNG,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_gigabyte_z790_aero_g_ddr5_atx.png
MSI B760 PRO VC WIFI II DDR5 ATX,6306466,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b760_pro_vc_wifi_ii_ddr5_atx.png
Supermicro Intel C242 X11SCL-IF LGA1151 DDR4 Mini ITX,7729886,LGA 1151,Mini-ITX,64,2,XANH LÁ,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_supermicro_intel_c242_x11scl_if_lga1151_ddr4_mini_itx.png
Asus A620 Pro A620M-DASH-CSM AM5 DDR5 Micro ATX,5532187,AM5,Micro ATX,96,2,XANH LÁ,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_a620_pro_a620m_dash_csm_am5_ddr5_micro_atx.png
Asus H610 PRIME H610M-A D4-CSM DDR4 Micro ATX,4858808,LGA 1700,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h610_prime_h610m_a_d4_csm_ddr4_micro_atx.png
GIGABYTE B650E AORUS MASTER,6129691,AM5,ATX,128,4,,DDR5,PCIe 5.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_gigabyte_b650e_aorus_master.png
Gigabyte Z590 AORUS ELITE AX DDR4 ATX,10215274,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z590_aorus_elite_ax_ddr4_atx.png
MSI MAG B760M MORTAR WIFI DDR5 Micro ATX,4083212,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_mag_b760m_mortar_wifi_ddr5_micro_atx.png
