tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp
MSI GeForce RTX 4060 Ti VENTUS 3X OC 16GB GDDR6 Silver / Black,18620880,GeForce RTX 4060 Ti,16.0,2310.0,2625.0,GREY,308.0,165.0
MSI GeForce RTX 4060 Ti GAMING X SLIM WHITE 16G GDDR6,18620880,GeForce RTX 4060 Ti,16.0,2310.0,2670.0,WHITE,307.0,165.0
Inno3D Twin X2 GeForce RTX 4060 Ti 16GB GDDR6 Black / Silver,18620880,GeForce RTX 4060 Ti,16.0,2310.0,2535.0,BLACK,250.0,165.0
MSI VENTUS 2X GeForce RTX 5050 8GB GDDR6 Silver / Black,5999760,GeForce RTX 5050,8.0,2317.0,2587.0,GREY,197.0,130.0
ZOTAC GAMING GeForce RTX 5050 Twin Edge OC White Edition 8GB GDDR6,5999760,GeForce RTX 5050,8.0,2317.0,2602.0,WHITE,220.5,130.0
Inno3D Twin X2 OC GeForce RTX 5050 8GB GDDR6 Black,5999760,GeForce RTX 5050,8.0,2317.0,2602.0,BLACK,225.0,130.0
MSI GAMING GeForce GTX 1050 Ti 4GB GDDR5 Red / Black,6335760,GeForce GTX 1050 Ti,4.0,1290.0,1493.0,RED,229.0,75.0
Asus DUAL GeForce GTX 1050 Ti 4GB GDDR5 White / Blue,6335760,GeForce GTX 1050 Ti,4.0,1290.0,1392.0,WHITE,212.0,75.0
Inno3D Compact GeForce GTX 1050 Ti 4GB GDDR5 Black / White,6335760,GeForce GTX 1050 Ti,4.0,1290.0,1392.0,BLACK,145.0,75.0
Gigabyte MINI ITX OC GeForce GTX 1660 Ti 6GB GDDR6 Black / Gray,10200000,GeForce GTX 1660 Ti,6.0,1500.0,1785.0,BLACK,170.0,120.0
MSI VENTUS OC GeForce RTX 2080 Ti 11GB GDDR6 Silver / Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,GREY,268.0,250.0
Asus STRIX GAMING OC GeForce RTX 2080 Ti 11GB GDDR6 White,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1770.0,WHITE,305.0,250.0
MSI DUKE GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1665.0,BLACK,314.0,260.0
Yeston Sakura Radeon RX 7800 XT 16GB GDDR6 Blue / Purple,14399760,Radeon RX 7800 XT,16.0,1295.0,2520.0,BLUE,340.0,263.0
PowerColor Hellhound Spectral Radeon RX 7800 XT 16GB GDDR6 White,14399760,Radeon RX 7800 XT,16.0,1295.0,2520.0,WHITE,322.0,263.0
